"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"73","Vrouw","Thuiswonend",9612,11649,5085,5468,3739,0,6785,42338,FALSE
"74","Vrouw","Thuiswonend",5675,7552,14464,8719,2899,3486,4079,46874,FALSE
"75","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Vrouw","Uitwonend",13960,4667,17426,29370,12706,1652,8908,88689,TRUE
"77","Man","Thuiswonend",13047,10023,5803,41271,4580,12947,20001,107672,TRUE
"78","Vrouw","Uitwonend",9892,4183,4009,5616,6536,8117,17776,56129,FALSE
"79","Man","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Vrouw","Uitwonend",0,8657,1796,8704,4371,3261,2328,29117,FALSE
"82","Vrouw","Uitwonend",5906,4997,6987,8054,7543,6789,9080,49356,FALSE
"83","Vrouw","Thuiswonend",3702,470,8289,1063,2513,3196,9102,28335,FALSE
"84","Vrouw","Thuiswonend",8876,3637,4508,1514,0,4016,8240,30791,FALSE
"85","Man","Thuiswonend",9304,1136,7600,5368,847,8703,4292,37250,FALSE
"86","Man","Thuiswonend",5232,6501,5430,7242,3829,4708,6755,39697,FALSE
"87","Vrouw","Thuiswonend",11508,7006,7155,4667,8076,7567,11250,57229,TRUE
"88","Vrouw","Thuiswonend",5012,6055,4610,1609,7152,4187,5117,33742,FALSE
"89","Man","Uitwonend",5325,9080,6591,7092,9095,7163,8923,53269,FALSE
"90","Man","Uitwonend",12158,4690,5611,4295,7947,6497,6596,47794,TRUE
"91","Vrouw","Thuiswonend",4094,5949,2808,1454,17456,4546,16316,52623,FALSE
"92","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Man","Uitwonend",6604,12456,6525,9859,4724,7497,5483,53148,FALSE
"94","Man","Thuiswonend",2700,6783,6411,6010,2070,10056,4553,38583,FALSE
"95","Vrouw","Thuiswonend",4905,7660,5738,4692,6182,4079,11572,44828,FALSE
