"id","submitdate","lastpage","startlanguage","startdate","datestamp","Nummer","Systeem","StapApp[1_Aantal]","StapApp[2_Aantal]","StapApp[3_Aantal]","StapApp[4_Aantal]","StapApp[5_Aantal]","StapApp[6_Aantal]","StapApp[7_Aantal]","CommentApp[1]","CommentApp[2]","CommentApp[3]","CommentApp[4]","CommentApp[5]","CommentApp[6]","CommentApp[7]","StapOm[1_Aantal]","StapOm[1_Aer]","StapOm[1_Afs]","StapOm[1_Cal]","StapOm[2_Aantal]","StapOm[2_Aer]","StapOm[2_Afs]","StapOm[2_Cal]","StapOm[3_Aantal]","StapOm[3_Aer]","StapOm[3_Afs]","StapOm[3_Cal]","StapOm[4_Aantal]","StapOm[4_Aer]","StapOm[4_Afs]","StapOm[4_Cal]","StapOm[5_Aantal]","StapOm[5_Aer]","StapOm[5_Afs]","StapOm[5_Cal]","StapOm[6_Aantal]","StapOm[6_Aer]","StapOm[6_Afs]","StapOm[6_Cal]","StapOm[7_Aantal]","StapOm[7_Aer]","StapOm[7_Afs]","StapOm[7_Cal]","Dragen[1]","Dragen[2]","Dragen[3]","Dragen[4]","Dragen[5]","Dragen[6]","Dragen[7]","Reden[1]","Reden[2]","Reden[3]","Reden[4]","Reden[5]","Reden[6]","Reden[7]","Locatie[1]","Locatie[2]","Locatie[3]","Locatie[4]","Locatie[5]","Locatie[6]","Locatie[7]","DagZwa2","TijdZwa2[Uur]","TijdZwa2[Min]","DagMat2","TijdMat2[Uur]","TijdMat2[Min]","DagWan2","TijdWan2[Uur]","TijdWan2[Min]","IPAQTOT2","TijdZit2[Uur]","TijdZit2[Min]","interviewtime","groupTime186","NummerTime","groupTime187","SysteemTime","groupTime188","StapAppTime","CommentAppTime","StapOmTime","DragenTime","RedenTime","LocatieTime","groupTime189","DagZwa2Time","TijdZwa2Time","DagMat2Time","TijdMat2Time","DagWan2Time","TijdWan2Time","IPAQTOT2Time","TijdZit2Time"
"116","2019-10-16 12:02:56","4","nl","2019-10-16 11:49:06","2019-10-16 12:02:56","132.0000000000","Omron & app","5521","7915","18190","14250","18641","11771","5191","","","","","","","","4947","0","3.8","98","5978","0","4.2","106","15640","2237","11.8","305","10779","1225","8.1","190","16433","1338","12.4","333","9439","3777","7.1","232","4422","0","3.3","90","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","riem","riem","riem","riem","riem","riem","riem","0.0000000000","","","3.0000000000","","30.0000000000","5.0000000000","4.0000000000","0.0000000000","NAN","6.0000000000","","736.47","3.44","","7.31","","590.76","","","","","","","134.96","","","","","","","",""
"117","2019-10-16 12:12:15","4","nl","2019-10-16 11:52:09","2019-10-16 12:12:15","11.0000000000","Omron & app","18769","16589","7969","13499","6739","4564","10398","","","","","","","","18769","2857","10.2","283","16589","1274","12.4","248","7969","2357","3.8","120","13499","231","8.2","202","6739","1238","3.4","101","4564","1333","1.5","68","10398","2234","6.3","155","Ja","Ja","Weet niet","Ja","Weet niet","Nee","Nee","","","","","","Vergeten","Vergeten","Riem","Riem","RIem","Riem","Riem","","","3.0000000000","1.0000000000","30.0000000000","7.0000000000","2.0000000000","","7.0000000000","1.0000000000","","6906","3.0000000000","","1207.19","4.23","","9.52","","1146.08","","","","","","","47.36","","","","","","","",""
"118","2019-10-16 12:48:59","4","nl","2019-10-16 11:57:55","2019-10-16 12:48:59","44.0000000000","Omron & app","6358","5279","3479","7720","3779","4415","12101","","","","","","","","4650","876","3.0","88","3658","0","2.4","55","2883","0","1.9","78","1476","0","0.9","8","0","0","0","0","0","0","0","0","5017","3685","3.3","143","Ja","Ja","Ja","Nee","Nee","Nee","Nee","","","","halverwege kwijtgeraakt","nog steeds kwijt","nog steeds kwijt","om 17u opgehaald","broekrand","broekrand","broekrand","broekrand","","","broekrand","4.0000000000","1.0000000000","30.0000000000","7.0000000000","","30.0000000000","5.0000000000","","20.0000000000","4050","8.0000000000","","3065.23","9.77","","6.84","","2984.43","","","","","","","64.19","","","","","","","",""
"119","2019-10-16 12:14:48","4","nl","2019-10-16 12:06:40","2019-10-16 12:14:48","4.0000000000","Omron & app","5559","5967","8740","2243","963","6895","10388","","","","","","","","10285","2374","8.2","377","4431","0","3.5","110","10584","2325","84","451","2608","0","2.0","96","2041","0","1.6","196","6717","0","5.3","197","11853","2363","9.6","499","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","Broekrand","Broekrand","Broekrand","Broekrand","Broekrand","Broekrand","Broekrand","3.0000000000","1.0000000000","15.0000000000","5.0000000000","1.0000000000","","0.0000000000","","","NAN","","","488.4","6.66","","5.84","","287.6","","","","","","","188.3","","","","","","","",""
"120","","2","nl","2019-10-16 12:14:00","2019-10-16 12:14:56","101.0000000000","Omron & app","10624","6451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.13","6.61","","13.72","","36.8","","","","","","","","","","","","","","",""
"121","2019-10-16 12:48:46","4","nl","2019-10-16 12:31:27","2019-10-16 12:48:46","21.0000000000","Omron & app","0","5556","9633","8248","4415","4108","6047","","","","","","","","4915","0","3.6","120","10179","1154","7.6","188","6154","0","4.6","97","5264","1049","3.9","152","28","0","0","0","2577","0","1.9","53","6047","2101","4.5","164","Ja","Ja","Ja","Ja","Nee","Ja","Ja","","","","","Vergeten","","","broekrand","broekrand","broekrand","broekrand","","broekrand","broekrand","1.0000000000","2.0000000000","","5.0000000000","0.0000000000","30.0000000000","2.0000000000","15.0000000000","","7500","6.0000000000","","1039.83","10.45","","6.02","","304.38","","","","","","","718.98","","","","","","","",""
"122","2019-10-16 13:07:17","4","nl","2019-10-16 12:43:22","2019-10-16 13:07:17","19.0000000000","Omron & app","11609","5722","8661","2186","1350","8233","7910","","","","","","","","10466","2248","7800","217","3249","0","2400","49","1002","0","700","20","1437","0","1000","16","1015","0","700","18","4691","0","3500","97","5253","0","3900","100","Ja","Ja","Nee","Ja","Nee","Ja","Ja","","","","","","","","Borstzakje","Broekzak","Broekzak","Broekzak","Broekzak","Broekzak","Broekzak","1.0000000000","1.0000000000","","5.0000000000","0.0000000000","40.0000000000","5.0000000000","0.0000000000","20.0000000000","1610","6.0000000000","","1435.85","5.93","","6.49","","1273.84","","","","","","","149.59","","","","","","","",""
"123","2019-10-16 13:02:21","4","nl","2019-10-16 12:43:47","2019-10-16 13:02:21","49.0000000000","Omron & app","2441","3704","7095","3327","6878","3642","7614","","","","","","","","3645","0","2.6","67","4909","0","3.5","113","5214","1086","3.7","94","6207","0","4.4","68","7288","4001","5.2","135","9579","0","6.8","106","8536","1788","6.1","170","Ja","Ja","Nee","Ja","Ja","Ja","Ja","","","Ik heb mijn stappenteller overdag bij mijn tante laten liggen.","","","","","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand","2.0000000000","1.0000000000","","7.0000000000","1.0000000000","","3.0000000000","","30.0000000000","2937","10.0000000000","","1114.69","5.61","","4.63","","558.78","","","","","","","545.67","","","","","","","",""
"124","2019-10-16 12:59:05","4","nl","2019-10-16 12:46:24","2019-10-16 12:59:05","64.0000000000","Omron & app","8654","15284","8311","6430","4562","4487","4386","niet bij tijdens hokceytraining","","niet bij tijdens hokceytraining","","niet bij tijdens hokceywedstrijd","","","12257","2489","8.7","330","13984","0","9.9","290","12975","3918","9.2","325","5560","0","3.9","84","11835","5712","8.4","341","3957","4487","2.8","77","4346","1201","3.0","92","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","broekzak","3.0000000000","1.0000000000","30.0000000000","4.0000000000","0.0000000000","20.0000000000","0.0000000000","","","NAN","7.0000000000","","762.27","6.82","","7.26","","407.09","","","","","","","341.1","","","","","","","",""
"125","2019-10-16 12:58:40","4","nl","2019-10-16 12:46:32","2019-10-16 12:58:40","61.0000000000","Omron & app","8760","6695","4041","5151","4735","8998","7294","-","-","-","-","-","-","-","2920","0","2.2","41","3518","0","2.7","50","3659","1698","2.8","111","0","0","0","0","3368","0","2.5","52","5935","0","4.5","151","4523","1048","3.4","98","Nee","Nee","Ja","Nee","Ja","Ja","Ja","s'ochtends thuis vergeten","s'avonds activiteit waarbij hij niet kon worden gedragen","","kwijt","","","","broekzak","broekzak","broekzak","","broekzak","broekzak","broekzak","2.0000000000","0.0000000000","15.0000000000","7.0000000000","1.0000000000","0.0000000000","7.0000000000","0.0000000000","20.0000000000","2382","5.0000000000","0.0000000000","729.15","8.41","","7.82","","481.46","","","","","","","231.46","","","","","","","",""
